,Date,Offline_Spend,Online_Spend,Month,total_spend
107,2019-04-18,4000,1476.58,Apr,5476.58
108,2019-04-19,4000,1754.92,Apr,5754.92
109,2019-04-20,4000,1330.34,Apr,5330.34
110,2019-04-21,4000,3078.84,Apr,7078.84
111,2019-04-22,4000,1608.26,Apr,5608.26
112,2019-04-23,3500,3107.11,Apr,6607.110000000001
113,2019-04-24,3500,1650.62,Apr,5150.62
114,2019-04-25,3500,620.94,Apr,4120.9400000000005
115,2019-04-26,3500,1363.31,Apr,4863.3099999999995
116,2019-04-27,3500,2056.17,Apr,5556.17
117,2019-04-28,3500,2019.73,Apr,5519.73
118,2019-04-29,3500,3549.13,Apr,7049.13
119,2019-04-30,3000,1799.66,Apr,4799.66
120,2019-05-01,3000,1108.88,May,4108.88
121,2019-05-02,3000,732.47,May,3732.4700000000003
122,2019-05-03,3000,2406.31,May,5406.3099999999995
123,2019-05-04,3000,2407.55,May,5407.55
124,2019-05-05,3000,1177.76,May,4177.76
125,2019-05-06,3000,2100.89,May,5100.889999999999
126,2019-05-07,3000,2271.0,May,5271.0
127,2019-05-08,3000,869.25,May,3869.25
128,2019-05-09,3000,1771.32,May,4771.32
129,2019-05-10,3000,1942.13,May,4942.13
130,2019-05-11,3000,1801.66,May,4801.66
131,2019-05-12,3000,2113.63,May,5113.63
132,2019-05-13,3000,2697.6,May,5697.6
133,2019-05-14,2500,2151.7,May,4651.7
134,2019-05-15,2500,682.42,May,3182.42
135,2019-05-16,2500,1605.63,May,4105.63
136,2019-05-17,2500,3052.49,May,5552.49
137,2019-05-18,2500,2805.79,May,5305.79
138,2019-05-19,2500,2331.31,May,4831.3099999999995
139,2019-05-20,2500,2298.34,May,4798.34
140,2019-05-21,1000,882.98,May,1882.98
141,2019-05-22,1000,979.08,May,1979.08
142,2019-05-23,1000,1196.03,May,2196.0299999999997
143,2019-05-24,1000,670.51,May,1670.51
144,2019-05-25,1000,2565.75,May,3565.75
145,2019-05-26,1000,2752.13,May,3752.13
146,2019-05-27,1000,1976.31,May,2976.31
147,2019-05-28,500,465.4,May,965.4
148,2019-05-29,500,670.64,May,1170.6399999999999
149,2019-05-30,500,1262.38,May,1762.38
150,2019-05-31,500,1010.3,May,1510.3
151,2019-06-01,500,320.25,Jun,820.25
152,2019-06-02,500,1622.46,Jun,2122.46
153,2019-06-03,500,1230.43,Jun,1730.43
154,2019-06-04,3500,2553.18,Jun,6053.18
155,2019-06-05,3500,3202.1,Jun,6702.1
156,2019-06-06,3500,1126.87,Jun,4626.87
157,2019-06-07,3500,1694.16,Jun,5194.16
158,2019-06-08,3500,1598.46,Jun,5098.46
159,2019-06-09,3500,2940.1,Jun,6440.1
160,2019-06-10,3500,1881.94,Jun,5381.9400000000005
161,2019-06-11,3000,1428.32,Jun,4428.32
162,2019-06-12,3000,2321.52,Jun,5321.52
163,2019-06-13,3000,1084.43,Jun,4084.4300000000003
164,2019-06-14,3000,1749.49,Jun,4749.49
165,2019-06-15,3000,1919.84,Jun,4919.84
166,2019-06-16,3000,2009.36,Jun,5009.36
167,2019-06-17,3000,2743.71,Jun,5743.71
168,2019-06-18,3500,2289.42,Jun,5789.42
169,2019-06-19,3500,2617.14,Jun,6117.139999999999
170,2019-06-20,3500,1019.59,Jun,4519.59
171,2019-06-21,3500,1473.98,Jun,4973.98
172,2019-06-22,3500,2217.07,Jun,5717.07
173,2019-06-23,3500,2283.08,Jun,5783.08
174,2019-06-24,3500,1975.15,Jun,5475.15
175,2019-06-25,1500,956.13,Jun,2456.13
176,2019-06-26,1500,1478.19,Jun,2978.19
177,2019-06-27,1500,649.14,Jun,2149.14
178,2019-06-28,1500,1709.84,Jun,3209.84
179,2019-06-29,1500,2652.13,Jun,4152.13
180,2019-06-30,1500,1070.66,Jun,2570.66
181,2019-07-01,1500,1932.64,Jul,3432.6400000000003
182,2019-07-02,2000,1108.03,Jul,3108.0299999999997
183,2019-07-03,2000,526.96,Jul,2526.96
184,2019-07-04,2000,2227.95,Jul,4227.95
185,2019-07-05,2000,2103.13,Jul,4103.13
186,2019-07-06,2000,2663.67,Jul,4663.67
187,2019-07-07,2000,2249.45,Jul,4249.45
188,2019-07-08,2000,2553.01,Jul,4553.01
189,2019-07-09,2500,1870.67,Jul,4370.67
190,2019-07-10,2500,1240.47,Jul,3740.4700000000003
191,2019-07-11,2500,1128.09,Jul,3628.09
192,2019-07-12,2500,923.4,Jul,3423.4
193,2019-07-13,2500,2489.36,Jul,4989.360000000001
194,2019-07-14,2500,2064.34,Jul,4564.34
195,2019-07-15,2500,1616.22,Jul,4116.22
196,2019-07-16,2000,1163.11,Jul,3163.1099999999997
197,2019-07-17,2000,1331.1,Jul,3331.1
198,2019-07-18,2000,2408.61,Jul,4408.610000000001
199,2019-07-19,2000,3444.24,Jul,5444.24
200,2019-07-20,2000,2097.22,Jul,4097.219999999999
201,2019-07-21,2000,1253.24,Jul,3253.24
202,2019-07-22,2000,2521.31,Jul,4521.3099999999995
203,2019-07-23,2500,1760.92,Jul,4260.92
204,2019-07-24,2500,850.14,Jul,3350.14
205,2019-07-25,2500,1169.05,Jul,3669.05
206,2019-07-26,2500,1627.19,Jul,4127.1900000000005
207,2019-07-27,2500,1151.7,Jul,3651.7
208,2019-07-28,2500,2425.35,Jul,4925.35
209,2019-07-29,2500,1353.73,Jul,3853.73
210,2019-07-30,1500,478.27,Jul,1978.27
211,2019-07-31,1500,985.28,Jul,2485.2799999999997
212,2019-08-01,1500,641.12,Aug,2141.12
213,2019-08-02,1500,2155.96,Aug,3655.96
214,2019-08-03,1500,2493.64,Aug,3993.64
215,2019-08-04,1500,2688.98,Aug,4188.98
216,2019-08-05,1500,2016.04,Aug,3516.04
217,2019-08-06,3000,1143.02,Aug,4143.02
218,2019-08-07,3000,1946.56,Aug,4946.5599999999995
219,2019-08-08,3000,1486.8,Aug,4486.8
220,2019-08-09,3000,2285.79,Aug,5285.79
221,2019-08-10,3000,1662.28,Aug,4662.28
222,2019-08-11,3000,2563.83,Aug,5563.83
223,2019-08-12,3000,1890.41,Aug,4890.41
224,2019-08-13,3500,1846.18,Aug,5346.18
225,2019-08-14,3500,1984.92,Aug,5484.92
226,2019-08-15,3500,1122.49,Aug,4622.49
227,2019-08-16,3500,1692.8,Aug,5192.8
228,2019-08-17,3500,3352.38,Aug,6852.38
229,2019-08-18,3500,1696.64,Aug,5196.64
230,2019-08-19,3500,2574.56,Aug,6074.5599999999995
231,2019-08-20,2500,1480.23,Aug,3980.23
232,2019-08-21,2500,1528.1,Aug,4028.1
233,2019-08-22,2500,1172.96,Aug,3672.96
234,2019-08-23,2500,1901.56,Aug,4401.5599999999995
235,2019-08-24,2500,2168.34,Aug,4668.34
236,2019-08-25,2500,1941.38,Aug,4441.38
237,2019-08-26,2500,1094.77,Aug,3594.77
238,2019-08-27,3000,2117.28,Aug,5117.280000000001
239,2019-08-28,3000,2178.57,Aug,5178.57
240,2019-08-29,3000,1056.67,Aug,4056.67
241,2019-08-30,3000,2223.08,Aug,5223.08
242,2019-08-31,3000,1296.81,Aug,4296.8099999999995
243,2019-09-01,3000,2424.97,Sep,5424.969999999999
244,2019-09-02,3000,1307.62,Sep,4307.62
245,2019-09-03,2500,2006.42,Sep,4506.42
246,2019-09-04,2500,1255.01,Sep,3755.01
247,2019-09-05,2500,1201.09,Sep,3701.09
248,2019-09-06,2500,1292.58,Sep,3792.58
249,2019-09-07,2500,2504.83,Sep,5004.83
250,2019-09-08,2500,1362.1,Sep,3862.1
251,2019-09-09,2500,1749.21,Sep,4249.21
252,2019-09-10,3000,2441.62,Sep,5441.62
253,2019-09-11,3000,1683.99,Sep,4683.99
254,2019-09-12,3000,1117.36,Sep,4117.36
255,2019-09-13,3000,1079.34,Sep,4079.34
256,2019-09-14,3000,1408.06,Sep,4408.0599999999995
257,2019-09-15,3000,2546.67,Sep,5546.67
258,2019-09-16,3000,1514.85,Sep,4514.85
259,2019-09-17,2500,2787.02,Sep,5287.02
260,2019-09-18,2500,2297.87,Sep,4797.87
261,2019-09-19,2500,1072.89,Sep,3572.8900000000003
262,2019-09-20,2500,1497.56,Sep,3997.56
263,2019-09-21,2500,1098.2,Sep,3598.2
264,2019-09-22,2500,1895.73,Sep,4395.73
265,2019-09-23,2500,2908.1,Sep,5408.1
266,2019-09-24,3000,1310.85,Sep,4310.85
267,2019-09-25,3000,1736.19,Sep,4736.1900000000005
268,2019-09-26,3000,767.58,Sep,3767.58
269,2019-09-27,3000,1660.74,Sep,4660.74
270,2019-09-28,3000,1394.83,Sep,4394.83
271,2019-09-29,3000,3713.1,Sep,6713.1
272,2019-09-30,3000,1478.16,Sep,4478.16
273,2019-10-01,3000,1991.44,Oct,4991.4400000000005
274,2019-10-02,3000,899.05,Oct,3899.05
275,2019-10-03,3000,2015.98,Oct,5015.98
276,2019-10-04,3000,2411.39,Oct,5411.389999999999
277,2019-10-05,3000,1511.94,Oct,4511.9400000000005
278,2019-10-06,3000,2230.76,Oct,5230.76
279,2019-10-07,3000,2154.78,Oct,5154.780000000001
280,2019-10-08,3500,1799.54,Oct,5299.54
281,2019-10-09,3500,734.31,Oct,4234.3099999999995
282,2019-10-10,3500,3705.5,Oct,7205.5
283,2019-10-11,3500,1450.93,Oct,4950.93
284,2019-10-12,3500,2839.32,Oct,6339.32
285,2019-10-13,3500,1353.34,Oct,4853.34
286,2019-10-14,3500,2114.35,Oct,5614.35
287,2019-10-15,2500,1317.89,Oct,3817.8900000000003
288,2019-10-16,2500,1218.6,Oct,3718.6
289,2019-10-17,2500,1783.56,Oct,4283.5599999999995
290,2019-10-18,2500,1150.51,Oct,3650.51
291,2019-10-19,2500,1631.19,Oct,4131.1900000000005
292,2019-10-20,2500,2827.25,Oct,5327.25
293,2019-10-21,2500,2848.39,Oct,5348.389999999999
294,2019-10-22,3500,1900.77,Oct,5400.77
295,2019-10-23,3500,1153.81,Oct,4653.8099999999995
296,2019-10-24,3500,2330.24,Oct,5830.24
297,2019-10-25,3500,1416.14,Oct,4916.14
298,2019-10-26,3500,2374.99,Oct,5874.99
299,2019-10-27,3500,3271.55,Oct,6771.55
300,2019-10-28,3500,1691.02,Oct,5191.02
301,2019-10-29,2000,1564.09,Oct,3564.09
302,2019-10-30,2000,780.15,Oct,2780.15
303,2019-10-31,2000,1251.87,Oct,3251.87
304,2019-11-01,2000,1224.01,Nov,3224.01
305,2019-11-02,2000,2437.58,Nov,4437.58
306,2019-11-03,2000,2294.09,Nov,4294.09
307,2019-11-04,2000,2478.79,Nov,4478.79
308,2019-11-05,3500,2019.94,Nov,5519.9400000000005
309,2019-11-06,3500,2546.6,Nov,6046.6
310,2019-11-07,3500,1252.63,Nov,4752.63
311,2019-11-08,3500,2087.49,Nov,5587.49
312,2019-11-09,3500,2926.69,Nov,6426.6900000000005
313,2019-11-10,3500,2431.73,Nov,5931.73
314,2019-11-11,3500,2643.34,Nov,6143.34
315,2019-11-12,4000,3390.82,Nov,7390.82
316,2019-11-13,4000,2400.95,Nov,6400.95
317,2019-11-14,4000,855.19,Nov,4855.1900000000005
318,2019-11-15,4000,737.08,Nov,4737.08
319,2019-11-16,4000,2716.48,Nov,6716.48
320,2019-11-17,4000,2964.3,Nov,6964.3
321,2019-11-18,4000,2825.78,Nov,6825.780000000001
322,2019-11-19,2500,1915.27,Nov,4415.27
323,2019-11-20,2500,1893.03,Nov,4393.03
324,2019-11-21,2500,484.9,Nov,2984.9
325,2019-11-22,2500,2071.31,Nov,4571.3099999999995
326,2019-11-23,2500,2972.6,Nov,5472.6
327,2019-11-24,2500,3875.08,Nov,6375.08
328,2019-11-25,2500,2643.59,Nov,5143.59
329,2019-11-26,3000,1642.31,Nov,4642.3099999999995
330,2019-11-27,3000,2819.58,Nov,5819.58
331,2019-11-28,3000,1375.26,Nov,4375.26
332,2019-11-29,3000,4556.93,Nov,7556.93
333,2019-11-30,3000,1661.61,Nov,4661.61
334,2019-12-01,3000,2358.1,Dec,5358.1
335,2019-12-02,3000,1907.19,Dec,4907.1900000000005
336,2019-12-03,3500,2011.57,Dec,5511.57
337,2019-12-04,3500,909.19,Dec,4409.1900000000005
338,2019-12-05,3500,2973.53,Dec,6473.530000000001
339,2019-12-06,3500,1957.58,Dec,5457.58
340,2019-12-07,3500,3396.14,Dec,6896.139999999999
341,2019-12-08,3500,2671.9,Dec,6171.9
342,2019-12-09,3500,2481.51,Dec,5981.51
343,2019-12-10,4000,3897.2,Dec,7897.2
344,2019-12-11,4000,1612.93,Dec,5612.93
345,2019-12-12,4000,2904.23,Dec,6904.23
346,2019-12-13,4000,3100.42,Dec,7100.42
347,2019-12-14,4000,3434.31,Dec,7434.3099999999995
348,2019-12-15,4000,3577.45,Dec,7577.45
349,2019-12-16,4000,3116.98,Dec,7116.98
350,2019-12-17,4500,1658.91,Dec,6158.91
351,2019-12-18,4500,663.46,Dec,5163.46
352,2019-12-19,4500,2829.71,Dec,7329.71
353,2019-12-20,4500,2876.39,Dec,7376.389999999999
354,2019-12-21,4500,3112.73,Dec,7612.73
355,2019-12-22,4500,2309.46,Dec,6809.46
356,2019-12-23,4500,2199.69,Dec,6699.6900000000005
357,2019-12-24,4000,3749.46,Dec,7749.46
358,2019-12-25,4000,1133.7,Dec,5133.7
359,2019-12-26,4000,1881.66,Dec,5881.66
360,2019-12-27,4000,3396.87,Dec,7396.87
361,2019-12-28,4000,3246.84,Dec,7246.84
362,2019-12-29,4000,2546.58,Dec,6546.58
363,2019-12-30,4000,674.31,Dec,4674.3099999999995
364,2019-12-31,4000,2058.75,Dec,6058.75
